"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-15",,"0.23",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-16",,"0.55",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-18",,"0.28",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-19",,"1.35",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-20",,"0.08",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-21",,"0.26",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-23",,"0.55",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-08-27",,"0.94",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-09-25",,,,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-01",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-02",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-03",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-04",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-05",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-06",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-07",,"0.70",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-08",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-09",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-10",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-10-20",,"0.40",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-11-03",,"0.86",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-11-04",,"0.00",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-11-07",,"0.31",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-11-08",,"1.29",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2017-01-16",,"1.68",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2017-02-20",,"0.90",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2017-03-12",,"0.50",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2017-03-29",,,,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-01-31",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-01",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-02",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-03",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-04",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-05",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-06",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-07",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-08",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-09",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-10",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-11",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-12",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-13",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-14",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-15",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-16",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-17",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-18",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-19",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-20",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-21",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-22",,"0.80",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-23",,"1.03",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-24",,"0.32",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-25",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-26",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-27",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-28",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-02-29",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-01",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-02",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-03",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-04",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-05",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-06",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-07",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-08",,"0.01",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-09",,"2.70",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-10",,"0.54",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-11",,"0.29",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-12",,"0.09",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-13",,"0.10",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-14",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-15",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-16",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-17",,"0.25",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-18",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-19",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-20",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-21",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-03-22",,"0.00",,,,,,,,,,,,,,
